"銘柄（コード）","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"1321 ２２５投信","2010/06/07",10,9700,19800,-20,-0.10,+101000,+104.12,198000,
"1345 上場Ｊリート","2010/06/09",100,909,1718,+2,+0.12,+80900,+89.00,171800,
"1615 銀行","----/--/--",3000,207,179,+2,+1.13,-84000,-13.53,537000,
"3950 ザ・パック","2007/12/04",100,1762,3620,+20,+0.56,+185800,+105.45,362000,
"8002 丸紅","2008/10/02",1000,456,695.4,-1.6,-0.23,+239400,+52.50,695400,
"8058 三菱商事","2012/10/12",300,1345,2492,+4,+0.16,+344100,+85.28,747600,
"8411 みずほ","2009/01/05",1000,392,187.7,+0.5,+0.27,-204300,-52.12,187700,
"9445 Ｆテレコム","2013/09/26",200,694,388,-2,-0.51,-61200,-44.09,77600,
