Sydney Kingsford Smith International Airport,Sydney,Australia,SYD,-33.9460983276367,151.177001953125,10,O,Australia/Sydney
Brussels Airport,Brussels,Belgium,BRU,50.9014015198,4.48443984985,1,E,Europe/Brussels
Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,GRU,-23.4355564117432,-46.4730567932129,-3,S,America/Sao_Paulo
Beijing Capital International Airport,Beijing,China,PEK,40.0801010131836,116.584999084473,8,U,Asia/Shanghai
Shanghai Pudong International Airport,Shanghai,China,PVG,31.1434001922607,121.805000305176,8,U,Asia/Shanghai
Charles de Gaulle International Airport,Paris,France,CDG,49.0127983093,2.54999995232,1,E,Europe/Paris
Chek Lap Kok International Airport,Hong Kong,Hong Kong,HKG,22.3089008331,113.915000916,8,U,Asia/Hong_Kong
Indira Gandhi International Airport,Delhi,India,DEL,28.566499710083,77.1031036376953,5.5,N,Asia/Calcutta
Ciampino–G. B. Pastine International Airport,Rome,Italy,CIA,41.7994,12.5949,1,E,Europe/Rome
Chubu Centrair International Airport,Nagoya,Japan,NGO,34.8583984375,136.804992675781,9,U,Asia/Tokyo
Kansai International Airport,Osaka,Japan,KIX,34.4272994995117,135.244003295898,9,U,Asia/Tokyo
Narita International Airport,Tokyo,Japan,NRT,35.7647018433,140.386001587,9,U,Asia/Tokyo
Tokyo Haneda International Airport,Tokyo,Japan,HND,35.552299,139.779999,9,U,Asia/Tokyo
Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,52.3086013794,4.76388978958,1,E,Europe/Amsterdam
Sheremetyevo International Airport,Moscow,Russia,SVO,55.972599,37.4146,3,N,Europe/Moscow
Incheon International Airport,Seoul,South Korea,ICN,37.4691009521484,126.450996398926,9,U,Asia/Seoul
London Heathrow Airport,London,United Kingdom,LHR,51.4706,-0.461941,0,E,Europe/London
Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,33.6366996765137,-84.4281005859375,-5,A,America/New_York
Honolulu International Airport,Honolulu,United States,HNL,21.3187007904053,-157.921997070313,-10,N,Pacific/Honolulu
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,-8,A,America/Los_Angeles
John F Kennedy International Airport,New York,United States,JFK,40.63980103,-73.77890015,-5,A,America/New_York
San Francisco International Airport,San Francisco,United States,SFO,37.6189994812012,-122.375,-8,A,America/Los_Angeles
Washington Dulles International Airport,Washington,United States,IAD,38.94449997,-77.45580292,-5,A,America/New_York
